study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_md5	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB3366	SAMEA1573240	ERS185198	ERX163172	ERR188031	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	99742f8950a1d92ed7a8ecdbaa135e4c;e7a0c009c87640d03500f0fac116e867	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188031/ERR188031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188031/ERR188031_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188031/ERR188031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188031/ERR188031_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00350.3.M_120202_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00350.3.M_120202_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00350.3.M_120202_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00350.3.M_120202_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188031	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188031		
PRJEB3366	SAMEA1573507	ERS185264	ERX163164	ERR188032	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	d87e91b75a4bb5a7b61582939d2f3aca;453c03d8e06e87a30eab51ce7057043f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188032/ERR188032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188032/ERR188032_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188032/ERR188032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188032/ERR188032_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12275.7.M_120219_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12275.7.M_120219_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12275.7.M_120219_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12275.7.M_120219_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188032	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188032		
PRJEB3366	SAMEA1573345	ERS185303	ERX163047	ERR188033	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	d6f4e6ecd36a829cee56e4143451975d;5ecd21c592be750f63612373f348b6b8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188033/ERR188033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188033/ERR188033_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188033/ERR188033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188033/ERR188033_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00336.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00336.1.M_120209_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00336.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00336.1.M_120209_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188033	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188033		
PRJEB3366	SAMEA1573368	ERS185458	ERX162954	ERR188034	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ac2e4353b40885e7dbfa5253a32a97fd;e93cacaa654547c27a6b355b5f8aab92	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188034/ERR188034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188034/ERR188034_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188034/ERR188034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188034/ERR188034_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00273.3.M_120202_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00273.3.M_120202_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00273.3.M_120202_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00273.3.M_120202_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188034	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188034		
PRJEB3366	SAMEA1573444	ERS185352	ERX162772	ERR188035	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	6f87346d29cb0fe1572745d5b29a7ad7;e1c45de3089a8a0fa6095acf67a90490	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00123.4.M_120208_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00123.4.M_120208_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00123.4.M_120208_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00123.4.M_120208_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188035	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188035		
PRJEB3366	SAMEA1573484	ERS185237	ERX162827	ERR188036	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	40fc557e3730d45dfe073795c40b8a60;a0c7dd4d346ba61c2488e7136575f765	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188036/ERR188036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188036/ERR188036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188036/ERR188036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188036/ERR188036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00236.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00236.5.M_120131_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00236.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00236.5.M_120131_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188036	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188036		
PRJEB3366	SAMEA1573523	ERS185141	ERX162908	ERR188037	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	cdc322fdd07369384c48ce913df45143;616bb2b0575c586384a6ca7c278f9464	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188037/ERR188037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188037/ERR188037_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188037/ERR188037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188037/ERR188037_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19236.4.M_120208_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19236.4.M_120208_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19236.4.M_120208_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19236.4.M_120208_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188037	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188037		
PRJEB3366	SAMEA1573269	ERS185098	ERX163148	ERR188038	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	9d9cd1167afc8f525b4e5e183419c5db;63dcc6f0f42421ed82dcf92aeaa86886	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188038/ERR188038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188038/ERR188038_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188038/ERR188038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188038/ERR188038_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00345.1.M_120209_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00345.1.M_120209_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00345.1.M_120209_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00345.1.M_120209_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188038	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188038		
PRJEB3366	SAMEA1573377	ERS185495	ERX162765	ERR188039	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	90195a9a439dbce1013550013f08d50f;5e17018813ef37e9d8cf565005a930a6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12144.4.M_120208_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12144.4.M_120208_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12144.4.M_120208_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12144.4.M_120208_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188039	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188039		
PRJEB3366	SAMEA1573477	ERS185276	ERX163134	ERR188040	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	8f79d46829ea84287c06eb15566d3d06;66f02ad30595f809f01cfe686c5d3baf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188040/ERR188040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188040/ERR188040_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188040/ERR188040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188040/ERR188040_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00096.1.M_111124_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00096.1.M_111124_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00096.1.M_111124_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00096.1.M_111124_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188040	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188040		
PRJEB3366	SAMEA1573127	ERS185091	ERX162894	ERR188041	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	f6fab86a9c73d65d2011f8fe00730502;56c4ec5e35f1f700bd94040e121578c3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188041/ERR188041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188041/ERR188041_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188041/ERR188041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188041/ERR188041_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00157.5.M_120131_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00157.5.M_120131_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00157.5.M_120131_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00157.5.M_120131_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188041	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188041		
PRJEB3366	SAMEA1573219	ERS185446	ERX162798	ERR188042	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	bb58f56432dfaaefa6b474c89070d704;d67ac97221081268d552ce11e35efe4a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188042/ERR188042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188042/ERR188042_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188042/ERR188042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188042/ERR188042_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19204.1.M_111124_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19204.1.M_111124_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19204.1.M_111124_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19204.1.M_111124_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188042	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188042		
